mapWidth=27
mapHeight=18
tileWidth=32
tileHeight=32
tileMap=
None,None,None,escapeLadder,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None,None,enemy spawn,None
netherbrick_back,netherbrick_back,None,escapeLadder,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None
netherbrick_back,netherbrick_back,None,escapeLadder,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,None,None,netherbrick_back,netherbrick_back,gold
ladder,trapNetherBrick,netherbrick.100,ladder,netherbrick_back,netherbrick_back,netherbrick_back,ladder,netherbrick.100,netherbrick.100,netherbrick.100,ladder,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,ladder,netherbrick.100,netherbrick.100,netherbrick.100,ladder,netherbrick.100,netherbrick_back,metalbars,netherbrick.100,ladder
ladder,netherbrick_back,None,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,metalbars,netherbrick_back,netherbrick_back,ladder,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,ladder,netherbrick_back,netherbrick_back,netherbrick_back,ladder,netherbrick_back,metalbars,metalbars,metalbars,ladder
ladder,gold,None,enemy spawn,netherbrick_back,netherbrick_back,netherbrick_back,metalbars,metalbars,metalbars,netherbrick_back,ladder,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,ladder,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick_back,ladder
ladder,trapNetherBrick,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100,ladder,netherbrick.100,netherbrick_back,netherbrick_back,metalbars,metalbars,metalbars,netherbrick_back,netherbrick_back,ladder
ladder,netherbrick_back,nodigObsidian,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,metalbars,metalbars,metalbars,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,metalbars,ladder,netherbrick.100,netherbrick_back,ladder
ladder,netherbrick_back,nodigObsidian,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,metalbars,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100,netherbrick_back,None,None,None,netherbrick_back,netherbrick_back,ladder,netherbrick.100,ladder,metalbars,netherbrick_back,ladder
ladder,netherbrick_back,nodigObsidian,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,metalbars,netherbrick_back,netherbrick_back,gold,netherbrick_back,netherbrick_back,netherbrick_back,ladder,netherbrick_back,metalbars,metalbars,netherbrick.100,netherbrick.100
ladder,netherbrick_back,nodigObsidian,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,metalbars,metalbars,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,ladder,netherbrick_back,netherbrick_back,metalbars,netherbrick_back,None
ladder,netherbrick_back,nodigObsidian,netherbrick_back,None,None,None,netherbrick.100,netherbrick.100,netherbrick.100,None,netherbrick.100,netherbrick.100,netherbrick.100,metalbars,netherbrick_back,netherbrick_back,netherbrick_back,None,netherbrick_back,netherbrick_back,ladder,netherbrick_back,netherbrick_back,netherbrick_back,enemy spawn,gold
ladder,netherbrick_back,nodigObsidian,netherbrick_back,netherbrick_back,gold,netherbrick_back,netherbrick.100,netherbrick.100,None,gold,None,netherbrick.100,netherbrick.100,netherbrick_back,netherbrick_back,netherbrick_back,None,enemy spawn,None,netherbrick_back,ladder,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100
ladder,netherbrick_back,nodigObsidian,ladder,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,ladder,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,ladder,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick.100,netherbrick.100
ladder,None,None,ladder,beam,beam,beam,beam,beam,beam,beam,beam,beam,beam,beam,ladder,None,None,None,None,None,ladder,metalbars,metalbars,metalbars,netherbrick.100,netherbrick.100
ladder,shrooms,netherbrick_back,ladder,netherbrick_back,metalbars,netherbrick_back,shrooms,netherbrick_back,metalbars,netherbrick_back,player spawn,netherbrick_back,metalbars,netherbrick_back,shrooms,netherbrick_back,metalbars,netherbrick_back,shrooms,netherbrick_back,ladder,netherbrick_back,metalbars,netherbrick_back,netherbrick.100,netherbrick.100
netherbrick.100,soulsand.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,soulsand.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,soulsand.100,netherbrick.100,netherbrick.100,netherbrick.100,soulsand.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100,netherbrick.100
netherack_back,netherack_back,lava.1,lava.1,lava.1,lava.1,netherack_back,netherack_back,netherack_back,netherack_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherbrick_back,netherack_back,netherack_back,netherack_back,netherack_back,netherack_back,lava.1,lava.1,lava.1,lava.1,lava.1
